koatuu;latitude;longitude
0122084400;45.4013900;34.3333300
0122084401;45.4250000;34.4477778
0122084402;45.4372222;34.5138889
0122084403;45.4019444;34.4502778
0122084404;45.4638889;34.5472222
0122084405;45.4583333;34.4813889
0122084406;45.4263889;34.5205556
0122084407;45.4136111;34.4908333
0122084800;45.5027800;34.2819400
0122084801;45.5022222;34.2816667
0122084802;45.5200000;34.2916667
0122084803;45.4808333;34.0000000
0122084804;45.4738889;34.1258333
0122084805;45.4694444;34.0819444
0122084806;45.4694444;34.2372222
0122084807;45.4963889;34.2336111
0122084808;45.5350000;34.2969444
0122085300;45.3500000;34.1833300
0122085301;45.3500000;34.1833333
0122085302;45.3572222;34.3263889
0122085303;45.2916667;34.2000000
0122085600;45.3205556;34.2594444
0122085601;45.3205556;34.2594444
0122085603;45.3226833;34.3398778
0122085605;45.3005556;34.2805556
0122085609;45.3250000;34.2000000
0122085611;45.3405556;34.2902778
0122085613;45.3091667;34.3769444
0122086500;45.3513900;34.3527800
0122086501;45.3519444;34.3527778
0122086503;45.3902778;34.3558333
0122086504;45.4238889;34.2816667
0122086505;45.3894444;34.3877778
0122088700;45.4305600;34.2180600
0122088701;45.4306250;34.2184639
0122088702;45.4208333;34.1208333
0122088703;45.4041667;34.2222222
0122088704;45.3894444;34.3877778
0122300000;45.9675000;33.8003000
0122380400;45.8319400;33.9208300
0122380401;45.8322222;33.9213889
0122380402;45.7888889;33.9083333
0122380403;45.8133333;33.8672222
0122380800;45.9611100;33.9541700
0122380801;45.9616667;33.9541667
0122380802;45.9344444;33.8950000
0122380803;45.9422222;33.9183333
0122380804;45.9513889;33.8925000
0122381300;45.8708300;33.9972200
0122381301;45.8708333;33.9972222
0122381302;45.9008333;34.0194444
0122381800;45.8197222;33.7930556
0122381801;45.8197222;33.7930556
0122381802;45.8452778;33.7925000
0122381803;45.8563889;33.7186111
0122381804;45.8005556;33.7544444
0122382200;45.9222200;33.8250000
0122382201;45.9222222;33.8250000
0122382203;45.9236111;33.7727778
